ÿWORD,MEANING,AoAtestbased,AoArating,CDI,Morr,Floc,
daddy,father,7,2.1,0.956944444,#N/A,#N/A,
mommy,,7,1.6,0.970183486,#N/A,#N/A,
bye,so long,7,2.6,1.023569024,#N/A,#N/A,
ball,round toy,7,3.0,1.124624625,1.95,#N/A,
ball,round object,7,3.0,1.124624625,1.95,#N/A,
ball,kind of game,7,3.0,1.124624625,1.95,#N/A,
hi,,7,,1.124624625,#N/A,#N/A,
dog,four-legged animal,7,3.2,1.159385113,1.841666667,#N/A,
no,not at all,7,1.8,1.198158915,#N/A,#N/A,
baby,new-born child,7,3.1,1.242063492,#N/A,#N/A,
kitty,cats' pet name,7,2.3,1.277665317,#N/A,#N/A,
book,many printed pages,7,3.9,1.293735225,1.841666667,#N/A,
bottle,hold in,7,3.6,1.294811321,3.208333333,#N/A,
bottle,glass container,7,3.6,1.294811321,3.208333333,#N/A,
hot,very warm,7,3.2,1.29803074,#N/A,#N/A,
shoe,foot covering,7,3.1,1.306473829,1.841666667,#N/A,
balloon,air-filled ball,7,3.7,1.30942029,1.841666667,#N/A,
balloon,kind of aircraft,7,3.7,1.30942029,1.841666667,#N/A,
bird,flying creature,7,3.7,1.31097561,#N/A,#N/A,
juice,liquid from fruit,7,4.1,1.315916399,#N/A,#N/A,
eye,hole in a needle,7,3.5,1.318478261,3.708333333,#N/A,
eye,what you see with,7,3.5,1.318478261,3.708333333,#N/A,
eye,to watch closely,7,3.5,1.318478261,3.708333333,#N/A,
cookie,small sweet cake,7,3.1,1.341019417,#N/A,#N/A,
nose,the smeller,7,3.5,1.343896714,4.708333333,#N/A,
banana,yellow-skinned fruit,7,3.6,1.348550725,1.95,#N/A,
duck,to dodge,7,3.5,1.348626717,1.841666667,#N/A,
duck,swimming bird,7,3.5,1.348626717,1.841666667,#N/A,
bath,wash,7,3.5,1.379090909,1.95,#N/A,
car,part of train,7,3.7,1.382756133,1.841666667,#N/A,
car,automobile,7,3.7,1.382756133,1.841666667,#N/A,
up,has risen,7,3.1,1.396718147,#N/A,#N/A,
up,at a higher place,7,3.1,1.396718147,#N/A,#N/A,
up,out of bed,7,3.1,1.396718147,#N/A,#N/A,
up,to raise,7,3.1,1.396718147,#N/A,#N/A,
up,from low to higher,7,3.1,1.396718147,#N/A,#N/A,
keys,"piano, typewriter controls",7,4.3,1.399032992,#N/A,#N/A,
cracker,a thin biscuit,7,4.9,1.403266332,#N/A,#N/A,
down,toward the ground,7,3.5,1.407627119,#N/A,#N/A,
apple,a fruit,7,3.8,1.416666667,1.841666667,#N/A,
ear,what you hear with,7,3.4,1.416666667,3.708333333,#N/A,
grandma,parent's mother,7,2.6,1.416666667,#N/A,#N/A,
cheese,food made from milk,7,4.3,1.427083333,3.708333333,#N/A,
sock,hit hard,7,3.4,1.42961165,1.95,#N/A,
bubbles,,7,4.5,1.433760684,#N/A,#N/A,
grandpa,parent's father,7,3.1,1.444444444,#N/A,#N/A,
hat,a head covering,7,3.5,1.476463104,1.95,#N/A,
cat,"lion, tiger, etc.",7,3.1,1.476744186,1.95,#N/A,
cat,"small, furry animal",7,3.1,1.476744186,1.95,#N/A,
truck,car for moving loads,7,4.4,1.480967078,#N/A,#N/A,
truck,load mover,7,4.4,1.480967078,#N/A,#N/A,
boat,a vehicle,7,5.3,1.5,1.95,#N/A,
thankyou,,7,,1.5,#N/A,#N/A,
yes,an answer that agrees,7,2.5,1.507850242,#N/A,#N/A,
yes,opposite of no,7,2.5,1.507850242,#N/A,#N/A,
bear,"big, shaggy animal",7,3.9,1.508736559,4.208333333,#N/A,
milk,a liquid food,7,3.6,1.512179487,#N/A,#N/A,
flower,colored blossom,7,3.3,1.515700483,1.841666667,#N/A,
flower,to bloom,7,3.3,1.515700483,1.841666667,#N/A,
cup,a measure,7,3.4,1.523809524,2.091666667,#N/A,
cup,used to drink from,7,3.4,1.523809524,2.091666667,#N/A,
airplane,flying machine,7,3.9,1.525720165,1.95,#N/A,
mouth,part of face,7,3.6,1.52875817,#N/A,#N/A,
spoon,an eating tool,7,3.3,1.529595016,1.841666667,#N/A,
outside,outdoors,7,4.6,1.531210986,#N/A,#N/A,
eat,"to bother, trouble",7,2.9,1.542301184,#N/A,#N/A,
eat,to take food,7,2.9,1.542301184,#N/A,#N/A,
foot,the bottom end of a bed,7,3.0,1.54288499,3.208333333,#N/A,
foot,twelve inches,7,3.0,1.54288499,3.208333333,#N/A,
foot,the lowest part,7,3.0,1.54288499,3.208333333,#N/A,
foot,part of leg,7,3.0,1.54288499,3.208333333,#N/A,
more,in a bigger amount,7,4.1,1.54288499,#N/A,#N/A,
horse,a work animal,7,3.9,1.54670913,1.95,#N/A,
hair,growth on head,7,3.3,1.54789272,4.708333333,#N/A,
cow,milk-giving animal,7,3.5,1.55,1.95,#N/A,
toe,front of shoe,7,3.4,1.552036199,#N/A,#N/A,
please,may I ...,7,,1.553418803,#N/A,#N/A,
tooth,what you bite with,7,3.7,1.553694158,#N/A,#N/A,
mine,underground diggings,7,3.7,1.555719921,#N/A,#N/A,
mine,belongs to me,7,3.7,1.555719921,#N/A,#N/A,
bellybutton,,7,,1.559278351,#N/A,#N/A,
bug,insect,7,4.8,1.565104167,#N/A,#N/A,
bunny,a rabbit,7,4.5,1.565104167,#N/A,#N/A,
go,to run,7,3.4,1.565104167,#N/A,#N/A,
go,to pass by,7,3.4,1.565104167,#N/A,#N/A,
go,leave,7,3.4,1.565104167,#N/A,#N/A,
go,to move from one place to another,7,3.4,1.565104167,#N/A,#N/A,
hand,cards held by a player,7,2.9,1.570224719,1.95,#N/A,
hand,from fingertips to wrist,7,2.9,1.570224719,1.95,#N/A,
hand,on clock,7,2.9,1.570224719,1.95,#N/A,
