PG mapping,consistency_bin_2,consistency_bin_3,consistency_bin_4,consistency_bin_5,consistency_bin_6,consistency_bin_7,consistency_bin_8,consistency_bin_9,consistency_bin_10,consistency_bin_11,consistency_bin_12,consistency_bin_13,consistency_bin_14,consistency_bin_15,consistency_bin_16,consistency_bin_17,consistency_bin_18,consistency_bin_19,consistency_bin_20,consistency_bin_21,consistency_bin_22,consistency_bin_23,consistency_bin_24
aɪ-a,0,0,0,0,0,0,0,0,0,0,0.00115606936416184,0.00111111111111111,0.00108695652173913,0.00108108108108108,0.00108108108108108,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0.00115606936416184,0.00111111111111111,0.00108695652173913,0.00108108108108108,0.00108108108108108,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0.008,0.0074074074074074,0.00666666666666666,0.00625,0.00571428571428571,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054
aɪ-ay,0,0,0,0,0,0,0,0.00145985401459854,0.00128205128205128,0.00119760479041916,0.00115606936416184,0.00222222222222222,0.00217391304347826,0.00216216216216216,0.00216216216216216,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0.00571428571428571,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054,0.0054054054054054
aɪ-ei,0,0,0,0,0,0.01052631578947368,0.01147826086956521,0.01032711543660448,0.00923076923076923,0.00864520958083832,0.00802642444260941,0.00820234027130579,0.0081426987305738,0.00812936532037655,0.00868801574683927,0.00867326147556819,0.00867326147556819,0.00867326147556819,0.00867326147556819,0.00867326147556819,0.00867326147556819,0.00867326147556819,0.00867326147556819
aɪ-eigh,0,0,0,0,0,0.00121951219512195,8.81057268722467e-4,7.662835249042145e-4,6.89655172413793e-4,6.472491909385113e-4,6.060606060606061e-4,0.00114942528735632,0.00112676056338028,0.00112359550561797,0.0011204481792717,0.00111731843575419,0.00111731843575419,0.00111731843575419,0.00111731843575419,0.00111731843575419,0.00111731843575419,0.00111731843575419,0.00111731843575419
aɪ-ey,0,0,0,0,0,0,0,0,0,0.00119760479041916,0.00115606936416184,0.00111111111111111,0.00108695652173913,0.00108108108108108,0.00108108108108108,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043,0.0010752688172043
aɪ-eye,0,0,0.2,0.16666666666666669,0.12727272727272726,0.10526315789473684,0.096,0.08888888888888888,0.08,0.075,0.06857142857142857,0.069361146135994,0.06920183005221539,0.06920024752333423,0.0691986738601611,0.06919710898840234,0.06919710898840234,0.06919710898840234,0.06919710898840234,0.06919710898840234,0.06919710898840234,0.06919710898840234,0.06919710898840234
aɪ-i,0,0,0.15,0.1915433403805497,0.25985971106052863,0.2658068209416091,0.2506630913618081,0.2527915279991796,0.26271441202475687,0.26733063000213164,0.27212602091717447,0.2694668299130774,0.26770605496714406,0.2668608655295109,0.26679162434989295,0.26758947919585396,0.26758947919585396,0.26758947919585396,0.26758947919585396,0.26758947919585396,0.26758947919585396,0.26758947919585396,0.26758947919585396
aɪ-i_e,0,0,0.14545454545454545,0.1635658914728682,0.14051191526919682,0.33613607188703465,0.3472775330396476,0.3586206896551724,0.3645977011494253,0.36610032362459544,0.36588744588744593,0.3689810500155327,0.3689988580129425,0.3691618584877012,0.3687637217048982,0.36836780914993206,0.36836780914993206,0.36836780914993206,0.36836780914993206,0.36836780914993206,0.36836780914993206,0.36836780914993206,0.36836780914993206
aɪ-ia,0,0,0.05,0.00909090909090909,0.00526315789473684,0.00662491760052735,0.00609844857307029,0.00591212909360404,0.00522546419098143,0.0048873127531345,0.00468032930460676,0.00448275862068965,0.00438763012859767,0.00436683874886122,0.00436369142251495,0.00434312488736709,0.00434312488736709,0.00434312488736709,0.00434312488736709,0.00434312488736709,0.00434312488736709,0.00434312488736709,0.00434312488736709
aɪ-ie,0,0,0.01818181818181818,0.05395348837209303,0.05344429033749422,0.05165853658536586,0.04102422907488987,0.03639846743295018,0.03273456295108259,0.03119741100323624,0.03032938076416337,0.02755240027045301,0.03035875631145362,0.03034767860928556,0.03033666296707362,0.0303257088647623,0.0303257088647623,0.0303257088647623,0.0303257088647623,0.0303257088647623,0.0303257088647623,0.0303257088647623,0.0303257088647623
aɪ-igh,0,0,0.03636363636363636,0.04124031007751938,0.0425335182616736,0.06122083058668425,0.06435812104960735,0.05662527616970103,0.05031953611745111,0.0474127473208922,0.04526628435650803,0.04752535496957404,0.04628539902251903,0.04617238395911281,0.0461125847585337,0.04600080925680983,0.04600080925680983,0.04600080925680983,0.04600080925680983,0.04600080925680983,0.04600080925680983,0.04600080925680983,0.04600080925680983
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0.00291970802919708,0.00256410256410256,0.00239520958083832,0.00231213872832369,0.00222222222222222,0.00217391304347826,0.00216216216216216,0.00216216216216216,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086,0.0021505376344086
aɪ-uy,0,0,0,0.01333333333333333,0.01904761904761904,0.0187027027027027,0.01423913043478261,0.01257096512570965,0.01058437686344663,0.01008649367930805,0.00985172153807489,0.00895424836601307,0.00863412633305988,0.00862825089240183,0.00862825089240183,0.00862243862852505,0.00862243862852505,0.00862243862852505,0.00862243862852505,0.00862243862852505,0.00862243862852505,0.00862243862852505,0.00862243862852505
aɪ-y,0,0.13333333333333333,0.17142857142857143,0.14727272727272728,0.14060150375939848,0.13362162162162164,0.14483695652173914,0.1511354420113544,0.15667859272510434,0.16172987358616103,0.16021613470721283,0.1566013071895425,0.15713699753896634,0.15804181540030596,0.15804181540030596,0.15786163522012578,0.15786163522012578,0.15786163522012578,0.15786163522012578,0.15786163522012578,0.15786163522012578,0.15786163522012578,0.15786163522012578
aɪ-y_e,0,0,0,0,0.00194174757281553,0.00121951219512195,0.0026431718061674,0.00306513409961685,0.00275862068965517,0.00258899676375404,0.00303030303030303,0.00344827586206896,0.00450704225352112,0.00449438202247191,0.00448179271708683,0.00446927374301676,0.00446927374301676,0.00446927374301676,0.00446927374301676,0.00446927374301676,0.00446927374301676,0.00446927374301676,0.00446927374301676
aɪ-ye,0,0.06666666666666667,0.02857142857142857,0.01333333333333333,0.00952380952380952,0.008,0.0125,0.01111111111111111,0.01395348837209302,0.01333333333333333,0.01304347826086956,0.01568627450980392,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151,0.01509433962264151
