PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
aɪ-a,0,0,0,0,0,0,0,0,0,0,0
aɪ-ae,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai,0,0,0,0,0,0,0,0,0,0,0
aɪ-ai_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-ay,0,0,0,0,0,0,0,0,0,0,0
aɪ-aye,0,0,0,0,0,0,0,0,0,0,0
aɪ-ei,1,0,0,0,0,0.010526315789473684,0.05263157894736842,0,0,0,0
aɪ-eigh,0,0,1,0,0,0.0012195121951219512,0,0,0.006097560975609756,0,0
aɪ-ey,0,0,0,0,0,0,0,0,0,0,0
aɪ-eye,10,0,0,0,0,0.10526315789473684,0.5263157894736842,0,0,0,0
aɪ-i,7,0,29,58,0,0.2658068209416091,0.3684210526315789,0,0.17682926829268292,0.7837837837837838,0
aɪ-i_e,1,1,103,0,0,0.33613607188703465,0.05263157894736842,1,0.6280487804878049,0,0
aɪ-ia,0,0,1,2,0,0.006624917600527356,0,0,0.006097560975609756,0.02702702702702703,0
aɪ-ie,0,0,3,0,6,0.05165853658536586,0,0,0.018292682926829267,0,0.24
aɪ-igh,0,0,26,5,2,0.06122083058668425,0,0,0.15853658536585366,0.06756756756756757,0.08
aɪ-igh_e,0,0,0,0,0,0,0,0,0,0,0
aɪ-oy,0,0,0,0,0,0,0,0,0,0,0
aɪ-uy,0,0,0,1,2,0.018702702702702703,0,0,0,0.013513513513513514,0.08
aɪ-y,0,0,0,8,14,0.13362162162162164,0,0,0,0.10810810810810811,0.56
aɪ-y_e,0,0,1,0,0,0.0012195121951219512,0,0,0.006097560975609756,0,0
aɪ-ye,0,0,0,0,1,0.008,0,0,0,0,0.04
aʊ-ao,0,0,0,0,0,0,0,0,0,0,0
aʊ-au,0,0,0,0,0,0,0,0,0,0,0
aʊ-ho,1,0,0,0,0,0.015384615384615385,0.07692307692307693,0,0,0,0
aʊ-hou,1,0,0,0,0,0.015384615384615385,0.07692307692307693,0,0,0,0
aʊ-o,3,0,0,2,0,0.06720647773279352,0.23076923076923078,0,0,0.10526315789473684,0
aʊ-ou,7,1,32,4,0,0.46408328513591657,0.5384615384615384,1,0.5714285714285714,0.21052631578947367,0
aʊ-ou_e,0,0,12,0,0,0.04285714285714286,0,0,0.21428571428571427,0,0
aʊ-ough,0,0,0,0,0,0,0,0,0,0,0
aʊ-ow,1,0,12,13,10,0.39508386350491614,0.07692307692307693,0,0.21428571428571427,0.6842105263157895,1
aʊ-ow_e,0,0,0,0,0,0,0,0,0,0,0
aʊ-owe,0,0,0,0,0,0,0,0,0,0,0
b-b,296,125,0,4,28,0.776056338028169,1,0.8802816901408451,0,1,1
b-bb,0,15,0,0,0,0.02112676056338028,0,0.1056338028169014,0,0,0
