"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",62,6,345,178,0,591,1.79239168949825,0.778151250383644,2.53781909507327,2.25042000230889,-Inf,2.77158748088126
"2",2,"æ","a_e",1,1,9,0,0,11,0,0,0.954242509439325,-Inf,-Inf,1.04139268515823
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"5",5,"æ","au",2,0,2,1,0,5,0.301029995663981,-Inf,0.301029995663981,0,-Inf,0.698970004336019
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,21,33,0,60,0.778151250383644,-Inf,1.32221929473392,1.51851393987789,-Inf,1.77815125038364
"13",13,"ʌ","o_e",0,0,21,0,0,21,-Inf,-Inf,1.32221929473392,-Inf,-Inf,1.32221929473392
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,9,8,0,17,-Inf,-Inf,0.954242509439325,0.903089986991944,-Inf,1.23044892137827
"17",17,"ʌ","u",57,1,213,94,0,365,1.75587485567249,0,2.32837960343874,1.9731278535997,-Inf,2.56229286445647
"18",18,"ʌ","u_e",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,1,1,0,0,2,-Inf,0,0,-Inf,-Inf,0.301029995663981
"21",21,"ɪ","a_e",0,3,15,0,0,18,-Inf,0.477121254719662,1.17609125905568,-Inf,-Inf,1.25527250510331
"22",22,"ɪ","e",34,0,46,93,0,173,1.53147891704226,-Inf,1.66275783168157,1.96848294855394,-Inf,2.2380461031288
"23",23,"ɪ","e_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"24",24,"ɪ","ea",2,0,20,2,0,24,0.301029995663981,-Inf,1.30102999566398,0.301029995663981,-Inf,1.38021124171161
"25",25,"ɪ","ee",0,0,9,1,0,10,-Inf,-Inf,0.954242509439325,0,-Inf,1
"26",26,"ɪ","ei",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"27",27,"ɪ","eo",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
