"","phoneme","grapheme","wi","si","sm","sf","wf"
"1","æ","a",101,13,482,253,0
"2","æ","a_e",2,1,19,0,0
"3","æ","aha",0,0,0,0,0
"4","æ","ai",0,0,1,0,0
"5","æ","au",2,0,2,1,0
"6","æ","ea",0,0,0,1,0
"7","æ","eah",0,0,0,0,0
"8","æ","i_e",0,0,0,0,0
"9","ʌ","_e",0,0,7,0,0
"10","ʌ","a",0,0,2,1,0
"11","ʌ","au_e",0,0,1,0,0
"12","ʌ","o",6,0,24,39,0
"13","ʌ","o_e",0,0,22,0,0
"14","ʌ","oe",0,0,1,0,0
"15","ʌ","oo",0,0,2,1,0
"16","ʌ","ou",0,0,9,8,0
"17","ʌ","u",72,1,310,120,0
"18","ʌ","u_e",0,0,12,0,0
"19","ʌ","uh",0,0,0,0,0
"20","ɪ","a",0,1,1,1,0
"21","ɪ","a_e",0,9,28,0,0
"22","ɪ","e",63,0,65,169,0
"23","ɪ","e_e",0,0,9,0,0
"24","ɪ","ea",2,0,23,4,0
"25","ɪ","ee",0,0,15,1,0
"26","ɪ","ei",0,0,2,0,0
"27","ɪ","eo",0,0,0,1,0
"28","ɪ","hi",0,1,0,9,0
"29","ɪ","i",111,33,686,388,0
"30","ɪ","i_e",0,1,61,0,0
"31","ɪ","ia",0,0,0,0,0
"32","ɪ","ia_e",0,0,3,0,0
"33","ɪ","ie",0,0,4,0,0
"34","ɪ","ie_e",0,0,3,0,0
"35","ɪ","o",0,0,0,1,0
"36","ɪ","u",0,0,3,1,0
"37","ɪ","ui",0,0,6,2,0
"38","ɪ","y",0,0,9,15,0
"39","ɔɪ","awy",0,0,0,0,0
"40","ɔɪ","eu",0,0,0,0,0
"41","ɔɪ","oi",3,0,20,4,0
"42","ɔɪ","oi_e",0,0,4,0,0
"43","ɔɪ","oy",1,0,0,8,12
"44","ɔɪ","oy_e",0,0,0,0,0
"45","ɔɪ","oye",0,0,0,0,0
"46","ɚ","_e",0,0,2,0,0
"47","ɚ","a",0,3,60,0,0
"48","ɚ","a_e",0,0,0,0,0
"49","ɚ","au",0,0,1,0,0
"50","ɚ","e",0,36,629,0,0
"51","ɚ","e_e",0,0,11,0,0
"52","ɚ","ea",6,0,11,0,0
"53","ɚ","ea_e",0,0,1,0,0
"54","ɚ","eu",0,0,0,0,0
"55","ɚ","he",1,0,1,0,0
"56","ɚ","i",0,0,52,0,0
"57","ɚ","i_e",0,0,0,0,0
"58","ɚ","o",2,4,115,0,0
"59","ɚ","o_e",0,0,2,0,0
"60","ɚ","oa",0,0,1,0,0
"61","ɚ","ou",0,0,11,0,0
"62","ɚ","ou_e",0,0,0,0,0
"63","ɚ","r",0,0,0,0,0
"64","ɚ","u",4,7,76,0,0
"65","ɚ","u_e",1,0,43,0,0
"66","ɚ","y",0,0,1,0,0
"67","aɪ","a",0,0,0,0,0
"68","aɪ","ae",0,0,0,0,0
"69","aɪ","ai",0,0,0,0,0
"70","aɪ","ai_e",1,0,0,0,0
"71","aɪ","ay",0,0,0,1,0
"72","aɪ","aye",0,0,0,0,0
"73","aɪ","ei",1,0,0,2,0
"74","aɪ","eigh",0,0,1,0,0
"75","aɪ","ey",0,0,0,0,0
"76","aɪ","eye",12,0,0,0,0
"77","aɪ","i",12,0,40,121,0
"78","aɪ","i_e",4,1,200,0,0
"79","aɪ","ia",0,0,2,3,0
"80","aɪ","ie",0,0,7,0,6
"81","aɪ","igh",0,0,36,9,3
"82","aɪ","igh_e",0,0,0,0,0
"83","aɪ","oy",0,0,0,2,0
"84","aɪ","uy",0,0,0,1,2
"85","aɪ","y",0,0,0,17,29
"86","aɪ","y_e",0,0,4,0,0
"87","aɪ","ye",0,0,0,0,3
"88","eɪ","a",12,10,10,154,0
"89","eɪ","a_e",5,13,219,0,0
"90","eɪ","ae",0,0,0,0,1
"91","eɪ","ai",2,0,77,17,0
"92","eɪ","ai_e",1,0,4,0,0
"93","eɪ","aigh",0,0,1,1,0
"94","eɪ","au_e",0,0,0,0,0
"95","eɪ","ay",0,0,2,17,53
"96","eɪ","ay_e",0,0,0,0,0
"97","eɪ","aye",0,0,0,0,0
"98","eɪ","e",0,0,0,1,1
"99","eɪ","e_e",0,0,0,0,0
"100","eɪ","ea",0,0,3,0,1
"101","eɪ","ee",0,0,0,0,0
"102","eɪ","ei",0,0,5,0,0
"103","eɪ","ei_e",0,0,1,0,0
