word,pron
a,ej
a,Y
aah,Q
aardvark,QrdvQrk
aaron,[rYn
abacus,æbYkYs
abandon,YbændYn
abandoned,YbændYnd
abbott,æbYt
abby,æbi
abdomen,æbdYmYn
abducted,YbdŒktjd
abducted,æbdŒktjd
abilities,YbjlYtiz
ability,YbjlYti
able,ejbYl
aboard,YbTrd
abominable,YbQmYnYbYl
abort,YbTrt
abortion,YbTrƒYn
about,YbaŠt
above,YbŒv
abracadabra,æbrYkYdæbrY
abraham,ejbrYhæm
abroad,YbrTd
absence,æbsYns
absent,æbsYnt
absolute,æbsYlut
absolutely,æbsYlutli
abstain,Ybstejn
absurd,YbsZrd
abuse,Ybjus
abuse,Ybjuz
abyss,Ybjs
academic,ækYd[mjk
academy,YkædYmi
accelerando,æks[lYrændoŠ
accelerate,æks[lZrejt
accent,Yks[nt
accept,Yks[pt
accept,æks[pt
acceptable,Yks[ptYbYl
accepted,æks[ptjd
access,æks[s
accident,æksYdYnt
accidental,æksYd[ntYl
accidentally,æksYd[ntYli
accidents,æksYdYnts
accolade,ækYlejd
accommodate,YkQmYdejt
accompany,YkŒmpYni
accomplice,YkQmplYs
accomplish,YkQmpljƒ
accomplished,YkQmpljƒt
according,YkTrdjK
accordion,YkTrdiYn
account,YkaŠnt
accountant,YkaŠntYnt
accounts,YkaŠnts
accurate,ækjZrYt
accuse,Ykjuz
accused,Ykjuzd
accusing,YkjuzjK
ace,ejs
ache,ejk
achieve,Ytƒiv
acid,æsYd
acknowledge,YknQljd’
acorn,ejkTrn
acquaintance,YkwejntYns
acquiesce,ækwi[s
acquiescence,ækwi[sYns
acquire,YkwajZr
acres,ejkZrz
acrobat,ækrYbæt
acronym,ækrYnjm
across,YkrTs
act,ækt
acted,æktjd
acting,æktjK
action,ækƒYn
actions,ækƒYnz
activate,æktYvejt
active,æktjv
activities,æktjvjtiz
activity,æktjvjti
actor,æktZr
actors,æktZrz
actress,æktrYs
acts,æktss+s
actual,æktƒYYl
actually,ækƒuYli
ad,æd
adam,ædYm
adamant,ædYmYnt
adams,ædYmz
add,æd
added,ædjd
addict,ædjkt
addict,Ydjkt
addition,YdjƒYn
additional,YdjƒYnYl
address,ædr[s
ade,ejd
adjective,æd’jktjv
adjourned,Yd’Zrnd
adjudication,Yd’udYkejƒYn
adjust,Yd’Œst
administration,ædmjnjstrejƒYn
admiral,ædmZrYl
admire,Ydmajr
admire,ædmajr
admit,Ydmjt
admitted,YdmjtYd
adopt,YdQpt
adopted,YdQptYd
adoption,YdQpƒYn
adorable,YdTrYbYl
adore,YdTr
ads,ædz
adult,YdYlt
adults,YdŒlts
adults,ædYlts
advance,Ydvæns
advanced,Ydvænst
advantage,ædvæntjd’
adventure,ædv[ntƒZr
adventure,Ydv[ntƒZr
adverb,ædvZrb
advertisement,ædvZrtajzmYnt
advertisement,ædvZrtjsmYnt
advertising,ædvZrtajzjK
advice,ædvajs
advise,Ydvajz
advised,Ydvajzd
aegean,ejd’iYn
aerial,[riYl
aeronautical,[roŠnQtYkYl
aesthetic,[s¸[tjk
afar,YfQr
affair,Yf[r
affairs,Yf[rz
affect,Yf[kt
affect,æf[kt
affected,Yf[ktjd
affection,Yf[kƒYn
affects,Yf[kts
affects,æf[kts
affidavit,æfjdejvjt
affirm,YfZrm
affirmative,YfZrmYtjv
afford,YfTrd
afraid,Yfrejd
africa,æfrjkY
african,æfrjkYn
aft,æft
after,æftZr
afternoon,æftZrnun
afterwards,æftZrwZrdz
again,Yg[n
against,Yg[nst
age,ejd’
agency,ejd’Ynsi
agenda,Yd’[ndY
agent,ejd’Ynt
agents,ejd’Ynts
ages,ejd’jz
aggravate,ægrYvejt
aggressive,Ygr[sjv
aging,ejd’jK
agitate,æd’Ytejt
ago,YgoŠ
agony,ægYni
agree,Ygri
agreed,Ygrid
agreement,YgrimYnt
ah,Q
aha,QhQ
ahead,Yh[d
ahem,Yh[m
ahold,YhoŠld’
ahoy,YhTj
aid,ejd
aide,ejd
ail,ejl
aim,ejm
air,[r
airborne,[rbTrn
aircraft,[rkræft
aircraft,[rkræft
airforce,[rfTrs
airline,[rlajn
airplane,[rplejn
airport,[rpTrt
aisle,ajl
al,æl
alan,ælYn
alarm,YlQrm
albert,ælbZrt
album,ælbYm
alcohol,ælkYhQl
alcoholic,ælkYhQljk
ale,ejl
alert,YlZrt
alexander,æljgzændZr
alfred,ælfrjd
alfredo,ælfrejdoŠ
algae,æld’i
algebra,æld’YbrY
algorithm,ælgZrjğm
