"","X","phoneme","grapheme","wi","si","sm","sf","wf","total","wi_freq","si_freq","sm_freq","sf_freq","wf_freq","freq"
"1",1,"æ","a",101,13,478,253,0,845,2.00432137378264,1.11394335230684,2.67942789661212,2.40312052117582,-Inf,2.92685670894969
"2",2,"æ","a_e",2,1,19,0,0,22,0.301029995663981,0,1.27875360095283,-Inf,-Inf,1.34242268082221
"3",3,"æ","aha",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"4",4,"æ","ai",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"5",5,"æ","au",2,0,2,1,0,5,0.301029995663981,-Inf,0.301029995663981,0,-Inf,0.698970004336019
"6",6,"æ","ea",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"7",7,"æ","eah",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"8",8,"æ","i_e",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"9",9,"ʌ","_e",0,0,7,0,0,7,-Inf,-Inf,0.845098040014257,-Inf,-Inf,0.845098040014257
"10",10,"ʌ","a",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"11",11,"ʌ","au_e",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"12",12,"ʌ","o",6,0,24,39,0,69,0.778151250383644,-Inf,1.38021124171161,1.5910646070265,-Inf,1.83884909073726
"13",13,"ʌ","o_e",0,0,22,0,0,22,-Inf,-Inf,1.34242268082221,-Inf,-Inf,1.34242268082221
"14",14,"ʌ","oe",0,0,1,0,0,1,-Inf,-Inf,0,-Inf,-Inf,0
"15",15,"ʌ","oo",0,0,2,1,0,3,-Inf,-Inf,0.301029995663981,0,-Inf,0.477121254719662
"16",16,"ʌ","ou",0,0,9,8,0,17,-Inf,-Inf,0.954242509439325,0.903089986991944,-Inf,1.23044892137827
"17",17,"ʌ","u",72,1,310,120,0,503,1.85733249643127,0,2.49136169383427,2.07918124604762,-Inf,2.70156798505593
"18",18,"ʌ","u_e",0,0,12,0,0,12,-Inf,-Inf,1.07918124604762,-Inf,-Inf,1.07918124604762
"19",19,"ʌ","uh",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"20",20,"ɪ","a",0,1,1,1,0,3,-Inf,0,0,0,-Inf,0.477121254719662
"21",21,"ɪ","a_e",0,9,28,0,0,37,-Inf,0.954242509439325,1.44715803134222,-Inf,-Inf,1.568201724067
"22",22,"ɪ","e",63,0,65,169,0,297,1.79934054945358,-Inf,1.81291335664286,2.22788670461367,-Inf,2.47275644931721
"23",23,"ɪ","e_e",0,0,9,0,0,9,-Inf,-Inf,0.954242509439325,-Inf,-Inf,0.954242509439325
"24",24,"ɪ","ea",2,0,23,4,0,29,0.301029995663981,-Inf,1.36172783601759,0.602059991327962,-Inf,1.46239799789896
"25",25,"ɪ","ee",0,0,15,1,0,16,-Inf,-Inf,1.17609125905568,0,-Inf,1.20411998265592
"26",26,"ɪ","ei",0,0,2,0,0,2,-Inf,-Inf,0.301029995663981,-Inf,-Inf,0.301029995663981
"27",27,"ɪ","eo",0,0,0,1,0,1,-Inf,-Inf,-Inf,0,-Inf,0
"28",28,"ɪ","hi",0,1,0,0,0,1,-Inf,0,-Inf,-Inf,-Inf,0
"29",29,"ɪ","i",111,33,677,381,0,1202,2.04532297878666,1.51851393987789,2.83058866868514,2.58092497567562,-Inf,3.07990446766672
"30",30,"ɪ","i_e",0,1,61,0,0,62,-Inf,0,1.78532983501077,-Inf,-Inf,1.79239168949825
"31",31,"ɪ","ia",0,0,0,0,0,0,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"32",32,"ɪ","ia_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
"33",33,"ɪ","ie",0,0,4,0,0,4,-Inf,-Inf,0.602059991327962,-Inf,-Inf,0.602059991327962
"34",34,"ɪ","ie_e",0,0,3,0,0,3,-Inf,-Inf,0.477121254719662,-Inf,-Inf,0.477121254719662
